Block, Primary Type, Description, Location, Description, Arrest, Domestic, Count, Latitude, Longitude, Unemployed, House, Education, Street_Crime, Label
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,FALSE,TRUE,5,37.803, -122.262,711,380472,71,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,FALSE,FALSE,2,37.807, -122.263,711,380472,71,0,0 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,FALSE,FALSE,6,37.791, -122.220,641,406871,59,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,FALSE,TRUE,6,37.768, -122.225,641,406871,59,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,FALSE,TRUE,1,37.832, -122.250,66,1067189,93,1,1 
BLANK,BLANK, SUNOL ,Outside, SUNOL ,FALSE,FALSE,1,37.533, -121.806,53,1524089,90,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,FALSE,2,37.815, -122.242,239,840813,74,1,1 
BLANK,BLANK, LIVERMORE ,Outside, LIVERMORE ,FALSE,FALSE,2,37.567, -121.604,224,838883,74,0,0 
BLANK,BLANK, BERKELEY ,Outside, BERKELEY ,TRUE,TRUE,1,37.850, -122.286,502,577625,58,0,0 
BLANK,BLANK, LIVERMORE ,Outside, LIVERMORE ,TRUE,FALSE,25,37.736, -121.562,224,838883,74,1,1 
BLANK,BLANK, FREMONT ,Outside, FREMONT ,TRUE,FALSE,1,37.490, -121.929,64,1441158,92,0,0 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,FALSE,FALSE,14,37.783, -122.176,492,536943,52,0,0 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,TRUE,1,37.812, -122.278,597,555140,96,1,1 
BLANK,BLANK, LIVERMORE ,Outside, LIVERMORE ,FALSE,FALSE,1,37.542, -121.581,224,838883,74,1,1 
BLANK,BLANK, FREMONT ,Outside, FREMONT ,TRUE,TRUE,4,37.551, -121.976,638,548320,60,0,0 
BLANK,BLANK, LIVERMORE ,Outside, LIVERMORE ,FALSE,FALSE,2,37.484, -121.833,53,1524089,90,0,0 
BLANK,BLANK, ANTIOCH ,Outside, ANTIOCH ,FALSE,FALSE,2,37.575, -121.982,518,571442,87,0,0 
BLANK,BLANK, SUNOL ,Outside, SUNOL ,FALSE,FALSE,1,37.571, -121.893,53,1524089,90,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,TRUE,26,37.767, -122.185,707,450489,49,0,0 
BLANK,BLANK, FREMONT ,Outside, FREMONT ,FALSE,FALSE,3,37.534, -121.971,638,548320,60,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,TRUE,2,37.804, -122.261,711,380472,71,1,1 
BLANK,BLANK, FREMONT ,Outside, FREMONT ,FALSE,TRUE,1,37.555, -121.984,518,571442,87,1,1 
BLANK,BLANK, CASTRO VALLEY ,Outside, CASTRO VALLEY ,FALSE,TRUE,10,37.751, -122.057,61,1375810,92,0,0 
BLANK,BLANK, FREMONT ,Outside, FREMONT ,FALSE,TRUE,5,37.580, -121.964,518,571442,87,0,0 
BLANK,BLANK, NEWARK ,Outside, NEWARK ,FALSE,FALSE,2,37.550, -122.048,562,469965,41,1,1 
BLANK,BLANK, LIVERMORE ,Outside, LIVERMORE ,TRUE,TRUE,18,37.645, -121.782,224,838883,74,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,FALSE,TRUE,1,37.821, -122.263,539,569933,77,0,0 
BLANK,BLANK, SUNOL ,Outside, SUNOL ,FALSE,FALSE,2,37.570, -121.896,53,1524089,90,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,FALSE,TRUE,9,37.747, -122.187,672,292067,48,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,TRUE,7,37.788, -122.245,736,350248,56,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,FALSE,4,37.766, -122.176,707,450489,49,0,0 
BLANK,BLANK, LIVERMORE ,Outside, LIVERMORE ,TRUE,TRUE,3,37.792, -121.589,425,584212,55,0,0 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,TRUE,1,37.827, -122.275,628,439515,75,1,1 
BLANK,BLANK, SUNOL ,Outside, SUNOL ,FALSE,FALSE,1,37.612, -121.880,53,1524089,90,0,0 
BLANK,BLANK, LIVERMORE ,Outside, LIVERMORE ,FALSE,TRUE,7,37.650, -121.654,224,838883,74,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,FALSE,2,37.784, -122.227,641,406871,59,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,FALSE,FALSE,4,37.794, -122.258,736,350248,56,0,0 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,FALSE,FALSE,16,37.769, -122.231,641,406871,59,0,0 
BLANK,BLANK, LIVERMORE ,Outside, LIVERMORE ,FALSE,TRUE,1,37.621, -121.754,224,838883,74,0,0 
BLANK,BLANK, FREMONT ,Outside, FREMONT ,TRUE,TRUE,2,37.578, -122.028,810,498732,61,0,0 
BLANK,BLANK, FREMONT ,Outside, FREMONT ,TRUE,TRUE,4,37.584, -121.999,518,571442,87,1,1 
BLANK,BLANK, LIVERMORE ,Outside, LIVERMORE ,FALSE,TRUE,9,37.646, -121.719,224,838883,74,0,0 
BLANK,BLANK, SUNOL ,Outside, SUNOL ,FALSE,TRUE,2,37.625, -121.945,611,518028,50,0,0 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,FALSE,TRUE,1,37.852, -122.266,539,569933,77,1,1 
BLANK,BLANK, HAYWARD ,Outside, HAYWARD ,TRUE,TRUE,1,37.630, -122.041,652,374005,70,0,0 
BLANK,BLANK, SUNOL ,Outside, SUNOL ,TRUE,TRUE,1,37.622, -121.907,53,1524089,90,0,0 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,FALSE,5,37.798, -122.276,597,555140,96,1,1 
BLANK,BLANK, FREMONT ,Outside, FREMONT ,TRUE,TRUE,1,37.482, -121.941,638,548320,60,1,1 
BLANK,BLANK, SUNOL ,Outside, SUNOL ,FALSE,TRUE,2,37.593, -121.885,53,1524089,90,0,0 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,FALSE,TRUE,2,37.825, -122.256,66,1067189,93,0,0 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,FALSE,TRUE,2,37.811, -122.262,711,380472,71,1,1 
BLANK,BLANK, SUNOL ,Outside, SUNOL ,FALSE,FALSE,1,37.585, -121.873,53,1524089,90,1,1 
BLANK,BLANK, LIVERMORE ,Outside, LIVERMORE ,FALSE,FALSE,1,37.500, -121.537,224,838883,74,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,TRUE,2,37.776, -122.224,641,406871,59,0,0 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,FALSE,2,37.829, -122.290,628,439515,75,0,0 
BLANK,BLANK, FREMONT ,Outside, FREMONT ,FALSE,FALSE,1,37.523, -121.976,638,548320,60,0,0 
BLANK,BLANK, FREMONT ,Outside, FREMONT ,TRUE,TRUE,1,37.520, -121.981,638,548320,60,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,FALSE,1,37.848, -122.285,628,439515,75,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,TRUE,1,37.813, -122.266,711,380472,71,0,0 
BLANK,BLANK, FREMONT ,Outside, FREMONT ,FALSE,TRUE,1,37.540, -122.012,518,571442,87,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,FALSE,FALSE,2,37.814, -122.201,66,1067189,93,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,FALSE,TRUE,1,37.806, -122.273,711,380472,71,1,1 
BLANK,BLANK, SUNOL ,Outside, SUNOL ,TRUE,FALSE,2,37.544, -121.857,53,1524089,90,1,1 
BLANK,BLANK, FREMONT ,Outside, FREMONT ,FALSE,TRUE,2,37.470, -121.919,64,1441158,92,0,0 
BLANK,BLANK, PALIO ALTO ,Outside, PALIO ALTO ,TRUE,TRUE,1,37.438, -122.172,618,369258,74,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,TRUE,1,37.841, -122.264,539,569933,77,1,1 
BLANK,BLANK, LIVERMORE ,Outside, LIVERMORE ,FALSE,FALSE,1,37.536, -121.853,53,1524089,90,0,0 
BLANK,BLANK, LIVERMORE ,Outside, LIVERMORE ,FALSE,FALSE,1,37.786, -121.582,425,584212,55,0,0 
BLANK,BLANK, FREMONT ,Outside, FREMONT ,TRUE,TRUE,2,37.577, -121.972,518,571442,87,0,0 
BLANK,BLANK, SUNOL ,Outside, SUNOL ,TRUE,TRUE,1,37.615, -121.900,53,1524089,90,0,0 
